",customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,estimated_days,arrival_days,shipping_days,seller_to_carrier_status,arrival_status,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate"
"99306,sao paulo,SP,2018-01-13 10:51:14,2018-01-16 03:38:44,2018-01-18 12:42:43,2018-01-19 18:19:27,2018-02-01,5,,,2018-01-20 00:00:00,2018-01-21 09:00:16,2018-01-22 03:38:44,11.55,7.78,45.0,868.0,1.0,175.0,1,boleto,1,19.33,sao paulo,SP,electronics,Electronics,3960.0,19,6,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"88736,madre de deus de minas,MG,2017-11-24 11:16:25,2017-11-24 13:15:33,2017-11-28 23:59:05,2017-12-21 22:28:43,2017-12-21,3,,,2017-12-22 00:00:00,2017-12-22 12:32:45,2017-12-01 13:15:33,129.9,18.16,52.0,360.0,2.0,2900.0,1,credit_card,1,148.06,niteroi,RJ,small_appliances,Electronics,27000.0,27,27,23,OnTime/Early,OnTime/Early,Slow,Slow,Neutral"
"10225,sao jose dos pinhais,PR,2018-01-10 08:31:52,2018-01-10 10:32:02,2018-01-15 11:27:04,2018-01-31 22:09:05,2018-02-05,5,,,2018-02-01 00:00:00,2018-02-02 13:52:58,2018-01-16 08:40:56,59.99,15.17,48.0,219.0,3.0,800.0,1,voucher,1,75.16,limeira,SP,furniture_living_room,Furniture,1600.0,26,21,16,OnTime/Early,OnTime/Early,Slow,Neutral,Neutral"
"81426,feira de santana,BA,2017-02-03 11:58:30,2017-02-03 12:05:32,2017-02-06 08:37:51,2017-02-17 09:54:03,2017-03-20,4,,Atendeu todas as expectativas,2017-02-18 00:00:00,2017-02-20 22:46:27,2017-02-07 11:58:30,99.9,18.13,42.0,544.0,1.0,341.0,1,credit_card,6,118.03,petropolis,RJ,perfumery,Beauty & Health,5760.0,45,14,11,OnTime/Early,OnTime/Early,Very Slow,Fast,Fast"
"57838,belo horizonte,MG,2018-02-02 18:19:18,2018-02-03 02:53:13,2018-02-20 19:55:57,2018-03-09 21:41:54,2018-03-02,5,,,2018-02-17 00:00:00,2018-02-18 21:08:15,2018-02-09 02:53:13,84.89,15.34,44.0,655.0,1.0,321.0,1,boleto,1,100.23,sao jose dos campos,SP,computers_accessories,Electronics,3458.0,28,35,17,Late,Late,Slow,Slow,Neutral"
"87266,cotia,SP,2018-01-05 21:14:40,2018-01-05 21:27:46,2018-01-09 21:52:30,2018-01-16 20:56:43,2018-02-06,4,,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,2018-01-17 00:00:00,2018-01-18 09:37:21,2018-01-11 21:27:46,329.0,16.05,43.0,1530.0,6.0,300.0,1,credit_card,7,345.05,sao leopoldo,RS,garden_tools,Furniture,1122.0,32,11,7,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"34025,maua,SP,2017-11-10 18:13:05,2017-11-13 10:07:05,2017-11-16 19:36:04,2017-11-20 19:46:59,2017-11-24,5,,muito bom o serviço,2017-11-21 00:00:00,2017-11-22 22:56:51,2017-11-20 10:06:35,249.9,33.98,60.0,137.0,1.0,16900.0,1,credit_card,5,283.88,sao paulo,SP,kitchen_dining_laundry_garden_furniture,Furniture,48000.0,14,10,4,OnTime/Early,OnTime/Early,Fast,Fast,Very Fast"
"98124,joinville,SC,2018-07-13 12:52:40,2018-07-13 13:05:17,2018-07-16 14:33:00,2018-07-23 19:22:27,2018-08-09,5,,,2018-07-24 00:00:00,2018-07-25 11:28:04,2018-07-24 13:05:17,24.9,18.27,54.0,614.0,1.0,100.0,1,credit_card,1,43.17,maringa,PR,electronics,Electronics,1122.0,27,10,7,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"9810,guarulhos,SP,2017-09-05 18:29:33,2017-09-06 02:55:13,2017-09-14 21:21:37,2017-09-19 17:23:29,2017-09-26,3,,""Faltou clareza quanto ao tamanho do papel. Comprei como tendo .53x10, e na verdade tem .60x2,50. O papel é bonito, mas em brilho."",2017-09-20 00:00:00,2017-09-26 16:35:24,2017-09-13 02:55:13,99.0,13.71,49.0,1378.0,2.0,2000.0,1,boleto,1,338.13,maringa,PR,furniture_decor,Furniture,26000.0,21,14,5,Late,OnTime/Early,Neutral,Fast,Very Fast"
"24614,sao paulo,SP,2017-07-18 21:58:10,2017-07-18 22:10:16,2017-07-19 19:58:02,2017-07-21 14:16:34,2017-07-31,5,,,2017-07-22 00:00:00,2017-07-22 20:22:38,2017-07-24 22:10:16,49.9,8.72,58.0,585.0,2.0,220.0,1,credit_card,5,58.62,sao paulo,SP,baby,Fashion,3519.0,13,3,2,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
